acct,utc_date,num_courses_visited,total_minutes_visited,lessons_completed,projects_completed
0,2018-01-09,1,11.6793745,0,0
0,2018-01-10,2,37.2848873333,0,0
0,2018-01-11,2,53.6337463333,0,0
0,2018-01-12,1,33.4892696667,0,0
0,2018-01-13,1,64.7796776667,0,0
0,2018-01-14,1,151.617576833,1,0
0,2018-01-15,1,142.395963833,0,0
0,2018-01-16,0,0,0,0
0,2018-01-17,1,9.8495625,0,0
0,2018-01-18,1,38.330548,0,0
0,2018-01-19,1,98.3275675,1,0
0,2018-01-20,0,0,0,0
0,2018-01-21,0,0,0,0
0,2018-01-22,1,218.309690167,1,0
0,2018-01-23,1,280.773319167,1,0
0,2018-01-24,1,32.2760201667,0,0
0,2018-01-25,1,65.467882,0,0
0,2018-01-26,1,74.806089,1,0
0,2018-01-27,1,199.5010495,1,0
0,2018-01-28,1,55.2349593333,0,0
0,2018-01-29,1,212.645668667,1,0
0,2018-01-30,1,96.0037191667,1,0
0,2018-01-31,1,94.333214,0,0
0,2018-02-01,1,40.564986,1,0
0,2018-02-02,2,75.525712,0,0
0,2018-02-03,1,147.728229,0,0
0,2018-02-04,1,38.5299701667,1,0
0,2018-02-05,2,84.9565343334,0,0
0,2018-02-06,1,101.378330333,1,0
0,2018-02-07,1,104.065235,1,0
0,2018-02-08,0,0,0,0
0,2018-02-09,1,102.063156833,0,0
0,2018-02-10,1,104.679762333,1,0
0,2018-02-11,1,401.115233,2,0
0,2018-02-12,1,75.988601,0,0
0,2018-02-13,1,29.5425376667,1,0
0,2018-02-14,1,111.8835475,0,0
0,2018-02-15,0,0,0,0
0,2018-02-16,0,0,0,0
0,2018-02-17,0,0,0,0
0,2018-02-18,0,0,0,0
0,2018-02-19,0,0,0,0
0,2018-02-20,1,32.6505448333,0,0
0,2018-02-21,1,62.9092253333,0,0
0,2018-02-22,1,77.8910681667,1,0
0,2018-02-23,1,149.886224833,0,0
0,2018-02-24,0,0,0,0
0,2018-02-25,1,148.062158833,1,0
0,2018-02-26,2,42.3405491667,1,0
0,2018-02-27,2,32.479962,0,0
0,2018-02-28,0,0,0,0
0,2018-03-01,2,76.5451126667,0,0
0,2018-03-02,2,52.3286868334,0,0
0,2018-03-03,2,72.9312528334,0,0
0,2018-03-04,2,75.3168575,0,0
0,2018-03-05,1,58.7287473333,0,0
0,2018-03-06,2,61.3593731667,0,0
0,2018-03-07,0,0,0,0
0,2018-03-08,0,0,0,0
0,2018-03-09,1,13.0344913333,0,0
0,2018-03-10,2,238.282677666,1,0
0,2018-03-11,2,90.317473,0,0
0,2018-03-12,1,20.3650096667,0,0
0,2018-03-13,0,0,0,0
0,2018-03-14,0,0,0,0
0,2018-03-15,0,0,0,0
0,2018-03-16,2,164.301307834,0,0
0,2018-03-17,2,13.6127401667,0,0
0,2018-03-18,2,28.9673653334,1,0
