,Model,Displ,Cyl,Trans,Drive,Fuel,Stnd,Underhood_ID,Veh_Class,Air_Pollution_Score,City_MPG,Hwy_MPG,Cmb_MPG,Greenhouse_Gas_Score
0,ACURA RDX,3.5,6,SemiAuto-6,2WD,Gasoline,U2,JHNXT03.5GV3,small SUV,3.0,20.0,28.0,23.0,5.0
1,ACURA RDX,3.5,6,SemiAuto-6,4WD,Gasoline,U2,JHNXT03.5GV3,small SUV,3.0,19.0,27.0,22.0,4.0
2,ACURA TLX,2.4,4,AMS-8,2WD,Gasoline,L3ULEV125,JHNXV02.4WH3,small car,3.0,23.0,33.0,27.0,6.0
3,ACURA TLX,3.5,6,SemiAuto-9,2WD,Gasoline,L3ULEV125,JHNXV03.5LH3,small car,3.0,20.0,32.0,24.0,5.0
4,ACURA TLX,3.5,6,SemiAuto-9,4WD,Gasoline,L3ULEV125,JHNXV03.5LH3,small car,3.0,21.0,30.0,24.0,5.0
5,ACURA TLX AWD A-SPEC,3.5,6,SemiAuto-9,4WD,Gasoline,L3ULEV125,JHNXV03.5LH3,small car,3.0,20.0,29.0,23.0,5.0
6,ACURA TLX FWD A-SPEC,3.5,6,SemiAuto-9,2WD,Gasoline,L3ULEV125,JHNXV03.5LH3,small car,3.0,20.0,30.0,23.0,5.0
7,ALFA ROMEO 4C,1.8,4,AutoMan-6,2WD,Gasoline,L2,JCRXV01.85P0,small car,1.0,24.0,34.0,28.0,6.0
8,ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,L2ULEV125,JCRXJ02.95P0,midsize car,3.0,17.0,24.0,20.0,4.0
9,ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,L3ULEV125,JCRXJ02.95P0,midsize car,3.0,17.0,24.0,20.0,4.0
10,AUDI A3,2.0,4,AMS-6,4WD,Gasoline,S2,JVGAV02.0APA,small car,7.0,24.0,31.0,27.0,6.0
11,AUDI A3,2.0,4,AMS-7,2WD,Gasoline,L3SULEV30,JVGAJ02.0A3A,small car,7.0,26.0,35.0,29.0,6.0
12,AUDI A3 Cabriolet,2.0,4,AMS-6,4WD,Gasoline,S2,JVGAV02.0APA,small car,7.0,22.0,30.0,25.0,5.0
13,AUDI A3 Cabriolet,2.0,4,AMS-7,2WD,Gasoline,L3SULEV30,JVGAJ02.0A3A,small car,7.0,25.0,33.0,28.0,6.0
14,AUDI A4,2.0,4,AMS-7,4WD,Gasoline,L3ULEV70,JVGAV02.0A7C,small car,5.0,24.0,34.0,27.0,6.0
15,AUDI A4,2.0,4,Man-6,4WD,Gasoline,L3ULEV125,JVGAJ02.0AAC,small car,3.0,24.0,33.0,27.0,6.0
16,AUDI A4 Ultra,2.0,4,AMS-7,2WD,Gasoline,L3ULEV125,JVGAJ02.0AAC,small car,3.0,27.0,37.0,31.0,7.0
17,AUDI A5,2.0,4,AMS-7,4WD,Gasoline,L3ULEV70,JVGAV02.0A7C,small car,5.0,24.0,34.0,27.0,6.0
18,AUDI A5,2.0,4,Man-6,4WD,Gasoline,L3ULEV125,JVGAJ02.0AAC,small car,3.0,24.0,33.0,27.0,6.0
19,AUDI A5 Cabriolet,2.0,4,AMS-7,4WD,Gasoline,L3ULEV70,JVGAV02.0A7C,small car,5.0,24.0,34.0,27.0,6.0
20,AUDI A5 Sportback quattro,2.0,4,AMS-7,4WD,Gasoline,L3ULEV70,JVGAV02.0A7C,midsize car,5.0,24.0,34.0,27.0,6.0
21,AUDI A6,2.0,4,AMS-7,2WD,Gasoline,L3ULEV70,JVGAV02.0A7C,midsize car,5.0,25.0,34.0,28.0,6.0
22,AUDI A6,2.0,4,SemiAuto-8,4WD,Gasoline,L3ULEV70,JVGAV02.0A7C,midsize car,5.0,22.0,31.0,26.0,5.0
23,AUDI A6,3.0,6,SemiAuto-8,4WD,Gasoline,U2,JVGAJ03.0AUE,midsize car,3.0,20.0,29.0,23.0,5.0
24,AUDI A7,3.0,6,SemiAuto-8,4WD,Gasoline,U2,JVGAJ03.0AUE,midsize car,3.0,20.0,29.0,23.0,5.0
25,AUDI A8 L,3.0,6,SemiAuto-8,4WD,Gasoline,U2,JVGAJ03.0AUE,large car,3.0,19.0,29.0,22.0,4.0
26,AUDI Q3,2.0,4,SemiAuto-6,2WD,Gasoline,U2,JVGAV02.0AUA,small car,3.0,20.0,28.0,23.0,5.0
27,AUDI Q3,2.0,4,SemiAuto-6,4WD,Gasoline,U2,JVGAV02.0AUA,small car,3.0,20.0,28.0,23.0,5.0
28,AUDI Q5,2.0,4,SemiAuto-7,4WD,Gasoline,L3ULEV125,JVGAJ02.0AAC,small SUV,3.0,23.0,27.0,25.0,5.0
29,AUDI Q7,2.0,4,SemiAuto-8,4WD,Gasoline,L3ULEV125,JVGAJ02.0AAC,standard SUV,3.0,19.0,25.0,21.0,4.0
30,AUDI Q7,3.0,6,SemiAuto-8,4WD,Gasoline,U2,JVGAJ03.0AUE,standard SUV,3.0,19.0,25.0,21.0,4.0
31,AUDI RS3,2.5,5,AMS-7,4WD,Gasoline,L3ULEV125,JVGAV02.5NAG,small car,3.0,19.0,28.0,22.0,4.0
32,AUDI S3,2.0,4,AMS-7,4WD,Gasoline,U2,JVGAV02.0AUA,small car,3.0,22.0,28.0,25.0,5.0
33,AUDI S4,3.0,6,AMS-8,4WD,Gasoline,L3ULEV70,JVGAJ03.0N7F,small car,5.0,21.0,30.0,24.0,5.0
34,AUDI S5,3.0,6,AMS-8,4WD,Gasoline,L3ULEV70,JVGAJ03.0N7F,small car,5.0,21.0,30.0,24.0,5.0
35,AUDI S5 Cabriolet,3.0,6,AMS-8,4WD,Gasoline,L3ULEV70,JVGAJ03.0N7F,small car,5.0,20.0,29.0,23.0,5.0
36,AUDI S5 Sportback,3.0,6,AMS-8,4WD,Gasoline,L3ULEV70,JVGAJ03.0N7F,midsize car,5.0,21.0,30.0,24.0,5.0
37,AUDI SQ5,3.0,6,AMS-8,4WD,Gasoline,L3ULEV70,JVGAJ03.0N7F,small SUV,5.0,19.0,24.0,21.0,4.0
38,AUDI TT Coupe,2.0,4,AMS-6,4WD,Gasoline,S2,JVGAV02.0APA,small car,7.0,23.0,30.0,26.0,5.0
39,AUDI TT RS,2.5,5,AMS-7,4WD,Gasoline,L3ULEV125,JVGAV02.5NAG,small car,3.0,19.0,29.0,22.0,4.0
40,AUDI TT Roadster,2.0,4,AMS-6,4WD,Gasoline,S2,JVGAV02.0APA,small car,7.0,23.0,30.0,26.0,5.0
41,AUDI TTS Coupe,2.0,4,AMS-6,4WD,Gasoline,U2,JVGAV02.0AUA,small car,3.0,23.0,27.0,25.0,5.0
42,AUDI allroad quattro,2.0,4,AMS-7,4WD,Gasoline,L3ULEV70,JVGAV02.0A7C,station wagon,5.0,22.0,30.0,25.0,5.0
43,BENTLEY Bentayga,6.0,12,SemiAuto-8,4WD,Gasoline,L3ULEV125,JVGAT06.0EAR,standard SUV,3.0,12.0,19.0,15.0,2.0
44,BENTLEY Chiron,8.0,16,AMS-7,4WD,Gasoline,L3LEV160,JVGAV08.0GLB,small car,1.0,9.0,14.0,11.0,1.0
45,BMW 230i Convertible,2.0,4,SemiAuto-8,2WD,Gasoline,L3SULEV30,JBMXJ02.0B4X,small car,7.0,24.0,34.0,27.0,6.0
46,BMW 230i Coupe,2.0,4,Man-6,2WD,Gasoline,L3SULEV30,JBMXJ02.0B4X,small car,7.0,21.0,32.0,25.0,5.0
47,BMW 230i Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,L3SULEV30,JBMXJ02.0B4X,small car,7.0,24.0,35.0,28.0,6.0
48,BMW 230i xDrive Convertible,2.0,4,SemiAuto-8,4WD,Gasoline,L3SULEV30,JBMXJ02.0B4X,small car,7.0,23.0,33.0,27.0,6.0
49,BMW 230i xDrive Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,L3SULEV30,JBMXJ02.0B4X,small car,7.0,24.0,33.0,27.0,6.0
50,BMW 320i,2.0,4,Man-6,2WD,Gasoline,U2,JBMXJ02.0N20,small car,3.0,23.0,35.0,27.0,6.0
51,BMW 320i,2.0,4,SemiAuto-8,2WD,Gasoline,U2,JBMXJ02.0N20,small car,3.0,24.0,35.0,28.0,6.0
52,BMW 320i,2.0,4,SemiAuto-8,4WD,Gasoline,U2,JBMXJ02.0N20,small car,3.0,23.0,34.0,27.0,6.0
53,BMW 330e,2.0,4,SemiAuto-8,2WD,Gasoline,L3ULEV125,JBMXV02.0H48,small car,3.0,28.0,34.0,30.0,10.0
54,BMW 330i,2.0,4,Man-6,2WD,Gasoline,L3SULEV30,JBMXJ02.0B4X,small car,7.0,21.0,32.0,25.0,5.0
55,BMW 330i,2.0,4,SemiAuto-8,2WD,Gasoline,L3SULEV30,JBMXJ02.0B4X,small car,7.0,24.0,34.0,27.0,6.0
56,BMW 330i,2.0,4,SemiAuto-8,4WD,Gasoline,L3SULEV30,JBMXJ02.0B4X,small car,7.0,23.0,33.0,27.0,6.0
57,BMW 330i Gran Turismo,2.0,4,SemiAuto-8,4WD,Gasoline,L3SULEV30,JBMXJ02.0B4X,large car,7.0,23.0,33.0,27.0,6.0
58,BMW 330i Sports Wagon,2.0,4,SemiAuto-8,4WD,Gasoline,L3SULEV30,JBMXJ02.0B4X,station wagon,7.0,23.0,33.0,27.0,6.0
59,BMW 340i,3.0,6,Man-6,2WD,Gasoline,L3ULEV125,JBMXV03.0B58,small car,3.0,19.0,29.0,23.0,5.0
60,BMW 340i,3.0,6,Man-6,4WD,Gasoline,L3ULEV125,JBMXV03.0B58,small car,3.0,19.0,29.0,23.0,5.0
61,BMW 340i,3.0,6,SemiAuto-8,2WD,Gasoline,L3ULEV125,JBMXV03.0B58,small car,3.0,21.0,32.0,25.0,5.0
62,BMW 340i,3.0,6,SemiAuto-8,4WD,Gasoline,L3ULEV125,JBMXV03.0B58,small car,3.0,21.0,31.0,25.0,5.0
63,BMW 340i Gran Turismo,3.0,6,SemiAuto-8,4WD,Gasoline,L3ULEV125,JBMXV03.0B58,large car,3.0,20.0,29.0,23.0,5.0
64,BMW 430i Convertible,2.0,4,SemiAuto-8,2WD,Gasoline,L3SULEV30,JBMXJ02.0B4X,small car,7.0,24.0,34.0,27.0,6.0
65,BMW 430i Convertible,2.0,4,SemiAuto-8,4WD,Gasoline,L3SULEV30,JBMXJ02.0B4X,small car,7.0,22.0,32.0,26.0,5.0
66,BMW 430i Coupe,2.0,4,Man-6,2WD,Gasoline,L3SULEV30,JBMXJ02.0B4X,small car,7.0,21.0,33.0,25.0,5.0
67,BMW 430i Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,L3SULEV30,JBMXJ02.0B4X,small car,7.0,24.0,34.0,27.0,6.0
68,BMW 430i Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,L3SULEV30,JBMXJ02.0B4X,small car,7.0,23.0,33.0,27.0,6.0
69,BMW 430i Gran Coupe,2.0,4,SemiAuto-8,2WD,Gasoline,L3SULEV30,JBMXJ02.0B4X,small car,7.0,24.0,34.0,27.0,6.0
70,BMW 430i Gran Coupe,2.0,4,SemiAuto-8,4WD,Gasoline,L3SULEV30,JBMXJ02.0B4X,small car,7.0,23.0,33.0,27.0,6.0
71,BMW 440i Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,L3ULEV125,JBMXV03.0B58,small car,3.0,21.0,29.0,24.0,5.0
72,BMW 440i Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,L3ULEV125,JBMXV03.0B58,small car,3.0,20.0,29.0,23.0,5.0
73,BMW 440i Coupe,3.0,6,Man-6,2WD,Gasoline,L3ULEV125,JBMXV03.0B58,small car,3.0,19.0,29.0,23.0,5.0
74,BMW 440i Coupe,3.0,6,Man-6,4WD,Gasoline,L3ULEV125,JBMXV03.0B58,small car,3.0,19.0,29.0,23.0,5.0
75,BMW 440i Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,L3ULEV125,JBMXV03.0B58,small car,3.0,21.0,32.0,25.0,5.0
76,BMW 440i Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,L3ULEV125,JBMXV03.0B58,small car,3.0,21.0,31.0,25.0,5.0
77,BMW 440i Gran Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,L3ULEV125,JBMXV03.0B58,small car,3.0,21.0,32.0,25.0,5.0
78,BMW 440i Gran Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,L3ULEV125,JBMXV03.0B58,small car,3.0,21.0,31.0,25.0,5.0
79,BMW 530e,2.0,4,SemiAuto-8,2WD,Gasoline,L3SULEV30,JBMXV02.0H30,small car,7.0,27.0,31.0,29.0,10.0
80,BMW 530e,2.0,4,SemiAuto-8,4WD,Gasoline,L3SULEV30,JBMXV02.0H30,small car,7.0,27.0,31.0,28.0,10.0
81,BMW 530i,2.0,4,SemiAuto-8,2WD,Gasoline,L3SULEV30,JBMXJ02.0B4X,midsize car,7.0,24.0,34.0,27.0,6.0
82,BMW 530i,2.0,4,SemiAuto-8,4WD,Gasoline,L3SULEV30,JBMXJ02.0B4X,midsize car,7.0,23.0,33.0,27.0,6.0
83,BMW 540i,3.0,6,SemiAuto-8,2WD,Gasoline,L3ULEV70,JBMXJ03.0B5X,midsize car,5.0,21.0,30.0,24.0,5.0
84,BMW 540i,3.0,6,SemiAuto-8,4WD,Gasoline,L3ULEV70,JBMXJ03.0B5X,midsize car,5.0,20.0,29.0,23.0,5.0
85,BMW 640i Convertible,3.0,6,SemiAuto-8,2WD,Gasoline,L3ULEV125,JBMXJ03.0F16,small car,3.0,20.0,29.0,23.0,5.0
86,BMW 640i Convertible,3.0,6,SemiAuto-8,4WD,Gasoline,L3ULEV125,JBMXJ03.0F16,small car,3.0,19.0,28.0,22.0,4.0
87,BMW 640i Gran Coupe,3.0,6,SemiAuto-8,2WD,Gasoline,L3ULEV125,JBMXJ03.0F16,small car,3.0,20.0,29.0,23.0,5.0
88,BMW 640i Gran Coupe,3.0,6,SemiAuto-8,4WD,Gasoline,L3ULEV125,JBMXJ03.0F16,small car,3.0,19.0,28.0,22.0,4.0
89,BMW 650i Convertible,4.4,8,SemiAuto-8,2WD,Gasoline,L3ULEV125,JBMXJ04.4N63,small car,3.0,17.0,25.0,20.0,4.0
90,BMW 650i Convertible,4.4,8,SemiAuto-8,4WD,Gasoline,L3ULEV125,JBMXJ04.4N63,small car,3.0,16.0,25.0,19.0,3.0
91,BMW 650i Gran Coupe,4.4,8,SemiAuto-8,2WD,Gasoline,L3ULEV125,JBMXJ04.4N63,small car,3.0,17.0,25.0,20.0,4.0
92,BMW 650i Gran Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,L3ULEV125,JBMXJ04.4N63,small car,3.0,16.0,25.0,19.0,3.0
93,BMW 740e,2.0,4,SemiAuto-8,4WD,Gasoline,L3ULEV125,JBMXV02.0H48,large car,3.0,25.0,29.0,27.0,9.0
94,BMW 740i,3.0,6,SemiAuto-8,2WD,Gasoline,L3ULEV125,JBMXV03.0B58,large car,3.0,21.0,29.0,24.0,5.0
95,BMW 740i,3.0,6,SemiAuto-8,4WD,Gasoline,L3ULEV125,JBMXV03.0B58,large car,3.0,20.0,29.0,23.0,5.0
96,BMW 750i,4.4,8,SemiAuto-8,2WD,Gasoline,L3ULEV125,JBMXJ04.4N63,large car,3.0,17.0,25.0,20.0,4.0
97,BMW 750i,4.4,8,SemiAuto-8,4WD,Gasoline,L3ULEV125,JBMXJ04.4N63,large car,3.0,16.0,25.0,19.0,3.0
98,BMW Alpina B6 Gran Coupe,4.4,8,SemiAuto-8,4WD,Gasoline,L3ULEV125,JBMXJ04.4N63,small car,3.0,16.0,25.0,19.0,3.0
99,BMW Alpina B7,4.4,8,SemiAuto-8,4WD,Gasoline,L3ULEV125,JBMXJ04.4N63,large car,3.0,16.0,25.0,19.0,3.0
100,BMW M2,3.0,6,AMS-7,2WD,Gasoline,L3ULEV125,JBMXJ03.0F16,small car,3.0,20.0,26.0,22.0,4.0
101,BMW M2,3.0,6,Man-6,2WD,Gasoline,L3ULEV125,JBMXJ03.0F16,small car,3.0,18.0,26.0,21.0,4.0
102,BMW M240i Convertible,3.0,6,Man-6,2WD,Gasoline,L3ULEV125,JBMXV03.0B2X,small car,3.0,18.0,27.0,22.0,4.0
