,year,avg_temp
0,1764,47.12
1,1765,46.85
2,1766,47.14
3,1767,46.8
4,1768,44.2
5,1769,45.84
6,1770,45.84
7,1771,46.13
8,1772,46.74
9,1773,46.8
10,1774,47.79
11,1775,48.52
12,1776,46.94
13,1777,46.87
14,1778,47.37
15,1779,48.16
16,1780,48.97
17,1781,46.58
18,1782,46.22
19,1783,45.82
20,1784,46.15
21,1785,45.25
22,1786,46.87
23,1787,46.45
24,1788,47.21
25,1789,46.99
26,1790,46.36
27,1791,46.81
28,1792,46.56
29,1793,46.81
30,1794,47.35
31,1795,47.03
32,1796,46.89
33,1797,47.32
34,1798,47.61
35,1799,47.32
36,1800,47.26
37,1801,47.46
38,1802,47.44
39,1803,47.3
40,1804,47.91
41,1805,47.41
42,1806,47.17
43,1807,46.9
44,1808,45.73
45,1809,44.74
46,1810,44.46
47,1811,44.35
48,1812,44.69
49,1813,45.93
50,1814,45.66
51,1815,45.03
52,1816,44.49
53,1817,44.56
54,1818,46.09
55,1819,45.27
56,1820,45.72
57,1821,46.56
58,1822,46.74
59,1823,45.9
60,1824,47.39
61,1825,47.1
62,1826,47.05
63,1827,47.86
64,1828,46.71
65,1829,46.29
66,1830,47.34
67,1831,45.75
68,1832,45.41
69,1833,46.42
70,1834,46.67
71,1835,45.3
72,1836,45.86
73,1837,45.28
74,1838,45.52
75,1839,45.73
76,1840,46.04
77,1841,45.84
78,1842,46.44
79,1843,46.71
80,1844,45.77
81,1845,46.13
82,1846,47.39
83,1847,46.56
84,1848,46.36
85,1849,46.36
86,1850,46.22
87,1851,46.72
88,1852,46.58
89,1853,46.47
90,1854,46.78
91,1855,46.6
92,1856,46.4
93,1857,45.97
94,1858,46.58
95,1859,46.85
96,1860,46.33
97,1861,46.13
98,1862,45.61
99,1863,46.6
100,1864,46.36
101,1865,46.72
102,1866,46.92
103,1867,47.19
104,1868,46.85
105,1869,47.17
106,1870,46.76
107,1871,46.62
108,1872,46.74
109,1873,47.03
110,1874,47.17
111,1875,46.15
112,1876,46.54
113,1877,47.37
114,1878,47.89
115,1879,46.71
116,1880,46.62
117,1881,46.89
118,1882,46.63
119,1883,46.36
120,1884,45.99
121,1885,46.26
122,1886,46.31
123,1887,46.24
124,1888,46.56
125,1889,46.98
126,1890,46.35
127,1891,46.44
128,1892,46.53
129,1893,46.51
130,1894,46.69
131,1895,46.67
132,1896,46.78
133,1897,46.92
134,1898,46.72
135,1899,47.12
136,1900,47.3
137,1901,47.37
138,1902,46.94
139,1903,46.8
140,1904,46.56
141,1905,46.81
142,1906,47.08
143,1907,46.31
144,1908,46.74
145,1909,46.72
146,1910,46.8
147,1911,46.72
148,1912,46.71
149,1913,46.94
150,1914,47.46
151,1915,47.46
152,1916,46.81
153,1917,46.44
154,1918,46.63
155,1919,47.08
156,1920,47.05
157,1921,47.43
158,1922,47.14
159,1923,47.16
160,1924,47.32
161,1925,47.35
162,1926,47.71
163,1927,47.34
164,1928,47.53
165,1929,46.83
166,1930,47.53
167,1931,47.7
168,1932,47.68
169,1933,47.01
170,1934,47.53
171,1935,47.34
172,1936,47.39
173,1937,47.66
174,1938,47.95
175,1939,47.77
176,1940,47.77
177,1941,47.79
178,1942,47.71
179,1943,47.77
180,1944,47.93
181,1945,47.44
182,1946,47.62
183,1947,47.84
184,1948,47.75
185,1949,47.46
186,1950,47.07
187,1951,47.53
188,1952,47.55
189,1953,47.97
190,1954,47.41
191,1955,47.53
192,1956,46.9
193,1957,47.71
194,1958,47.79
195,1959,47.71
196,1960,47.44
197,1961,47.84
198,1962,47.75
199,1963,47.95
200,1964,47.14
201,1965,47.35
202,1966,47.48
203,1967,47.66
204,1968,47.34
205,1969,47.48
206,1970,47.66
207,1971,47.48
208,1972,47.3
209,1973,48.11
210,1974,47.25
211,1975,47.73
212,1976,47.03
213,1977,47.93
214,1978,47.64
215,1979,47.71
216,1980,48.16
217,1981,48.51
218,1982,47.55
219,1983,48.25
220,1984,47.64
221,1985,47.59
222,1986,47.89
223,1987,48.18
224,1988,48.56
225,1989,48.06
226,1990,48.61
227,1991,48.52
228,1992,47.91
229,1993,47.97
230,1994,48.27
231,1995,48.83
232,1996,48.27
233,1997,48.56
234,1998,49.14
235,1999,48.72
236,2000,48.56
237,2001,48.94
238,2002,49.23
239,2003,49.15
240,2004,48.78
241,2005,49.46
242,2006,49.15
243,2007,49.51
244,2008,48.97
245,2009,49.12
246,2010,49.46
247,2011,49.14
248,2012,49.12
249,2013,49.3
